Num intranidal nodes,Num nodes,Num intranidal vessels,Injection location,Injection pressure (mmHg),Num vessels,Flow min (mL/min),Flow mean (mL/min),Flow max (mL/min),Pressure min (mmHg),Pressure mean (mmHg),Pressure max (mmHg),Resistance min (mmHg*min/mL),Resistance mean (mmHg*min/mL),Resistance max (mmHg*min/mL),Radius min (cm),Radius mean (cm),Radius max (cm),Length min (cm),Length mean (cm),Length max (cm),Num fistulous,Fistulous flow min (mL/min),Fistulous flow mean (mL/min),Fistulous flow max (mL/min),Fistulous pressure min (mmHg),Fistulous pressure mean (mmHg),Fistulous pressure max (mmHg),Fistulous resistance min (mmHg*min/mL),Fistulous resistance mean (mmHg*min/mL),Fistulous resistance max (mmHg*min/mL),Fistulous radius min (cm),Fistulous radius mean (cm),Fistulous radius max (cm),Fistulous length min (cm),Fistulous length mean (cm),Fistulous length max (cm),Num plexiform,Plexiform flow min (mL/min),Plexiform flow mean (mL/min),Plexiform flow max (mL/min),Plexiform pressure min (mmHg),Plexiform pressure mean (mmHg),Plexiform pressure max (mmHg),Plexiform resistance min (mmHg*min/mL),Plexiform resistance mean (mmHg*min/mL),Plexiform resistance max (mmHg*min/mL),Plexiform radius min (cm),Plexiform radius mean (cm),Plexiform radius max (cm),Plexiform length min (cm),Plexiform length mean (cm),Plexiform length max (cm),Num intranidal,Intranidal flow min (mL/min),Intranidal flow mean (mL/min),Intranidal flow max (mL/min),Intranidal pressure min (mmHg),Intranidal pressure mean (mmHg),Intranidal pressure max (mmHg),Intranidal resistance min (mmHg*min/mL),Intranidal resistance mean (mmHg*min/mL),Intranidal resistance max (mmHg*min/mL),Intranidal radius min (cm),Intranidal radius mean (cm),Intranidal radius max (cm),Intranidal length min (cm),Intranidal length mean (cm),Intranidal length max (cm),Num feeder,Feeder flow min (mL/min),Feeder flow mean (mL/min),Feeder flow max (mL/min),Feeder pressure min (mmHg),Feeder pressure mean (mmHg),Feeder pressure max (mmHg),Feeder resistance min (mmHg*min/mL),Feeder resistance mean (mmHg*min/mL),Feeder resistance max (mmHg*min/mL),Feeder radius min (cm),Feeder radius mean (cm),Feeder radius max (cm),Feeder length min (cm),Feeder length mean (cm),Feeder length max (cm),Num drainer,Drainer flow min (mL/min),Drainer flow mean (mL/min),Drainer flow max (mL/min),Drainer pressure min (mmHg),Drainer pressure mean (mmHg),Drainer pressure max (mmHg),Drainer resistance min (mmHg*min/mL),Drainer resistance mean (mmHg*min/mL),Drainer resistance max (mmHg*min/mL),Drainer radius min (cm),Drainer radius mean (cm),Drainer radius max (cm),Drainer length min (cm),Drainer length mean (cm),Drainer length max (cm),Feeder total flow (mL/min),Drainer total flow (mL/min),Min rupture risk (%),Mean rupture risk (%),Max rupture risk (%),Percent filled (%),Percent filled post-injection (%),Blood pressure hypotension,CVP pressure,Cardiac phase,Num columns,Num compartments,Num cross vessels,Fistula compartment index,Error
948,962,1160,,0.0,1181,0.0,3.697,276.3606,0.0,9.0898,65.2652,0.0,5.4739,11.1418,0.01,0.0142,1,0.05,0.204,25,8,32.0441,34.1825,36.2094,11.1571,11.9017,12.6074,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1152,0.0,1.6262,4.6061,0.0,9.0596,25.6598,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1160,0.0,1.8508,36.2094,0.0,9.0792,25.6598,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,6.1842,89.3154,169.6699,1.3816,22.9441,65.2652,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,56.2136,89.3154,134.3944,0.0802,0.1274,0.1917,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,267.9463164008823,267.94631640089847,0,17.3252,57.842,0.0,0.0,minor,normal,systolic,7,4,56,2,[2.1374256931393196e-08]
948,962,1160,,0.0,1181,0.0,3.5502,265.5378,0.0,8.7268,62.6261,0.0,5.4739,11.1418,0.01,0.0142,1,0.05,0.204,25,8,30.7485,32.8004,34.7451,10.706,11.4204,12.0975,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1152,0.0,1.5605,4.4199,0.0,8.6933,24.6228,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1160,0.0,1.7759,34.7451,0.0,8.7122,24.6228,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,5.9342,85.7046,162.809,1.3258,22.0163,62.6261,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,53.9409,85.7046,128.9608,0.0769,0.1222,0.1839,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,257.11381710696605,257.1138171069815,0,16.1306,56.2,0.0,0.0,minor,normal,average,7,4,56,2,[2.1374256931393196e-08]
948,962,1160,,0.0,1181,0.0,3.5502,265.5378,0.0,8.7268,62.6261,0.0,5.4739,11.1418,0.01,0.0142,1,0.05,0.204,25,8,30.7485,32.8004,34.7451,10.706,11.4204,12.0975,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1152,0.0,1.5605,4.4199,0.0,8.6933,24.6228,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1160,0.0,1.7759,34.7451,0.0,8.7122,24.6228,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,5.9342,85.7046,162.809,1.3258,22.0163,62.6261,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,53.9409,85.7046,128.9608,0.0769,0.1222,0.1839,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,257.11381710696605,257.1138171069815,0,16.1306,56.2,0.0,0.0,minor,normal,diastolic,7,4,56,2,[2.1374256931393196e-08]
948,962,1160,DV1,20.0,1181,0.0,3.4974,260.7404,0.0,8.5635,64.0523,0.0,5.4739,11.1418,0.01,0.0142,1,0.05,0.204,25,8,31.865,34.2275,37.0529,11.0947,11.9173,12.9011,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1152,0.0,1.5297,4.4751,0.0,8.5218,24.9304,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1160,0.0,1.7552,37.0529,0.0,8.5452,24.9304,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,6.0693,84.1051,164.5775,1.3402,22.4435,64.0523,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,52.9075,84.1051,140.4368,0.0755,0.1199,0.2003,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,252.31520278099794,252.31520278101306,0,15.2182,56.6941,0.1724,0.1724,minor,normal,systolic,7,4,56,2,[2.1374256931393196e-08]
948,962,1160,DV1,20.0,1181,0.0,3.3508,249.9177,0.0,8.2017,62.0904,0.0,5.4739,11.1418,0.01,0.0142,1,0.05,0.204,25,8,30.5693,32.8454,35.6739,10.6436,11.4361,12.4209,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1152,0.0,1.4642,4.2996,0.0,8.1567,23.9523,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1160,0.0,1.6806,35.6739,0.0,8.1794,23.9523,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,5.8192,80.4942,157.7166,1.2843,21.5158,61.4132,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,49.7813,80.4942,135.0032,0.071,0.1148,0.1925,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,241.48270348708195,241.48270348709656,0,13.9662,55.1011,0.1724,0.1724,minor,normal,average,7,4,56,2,[2.1374256931393196e-08]
948,962,1160,DV1,20.0,1181,0.0,3.3508,249.9177,0.0,8.2017,62.0904,0.0,5.4739,11.1418,0.01,0.0142,1,0.05,0.204,25,8,30.5693,32.8454,35.6739,10.6436,11.4361,12.4209,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1152,0.0,1.4642,4.2996,0.0,8.1567,23.9523,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1160,0.0,1.6806,35.6739,0.0,8.1794,23.9523,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,5.8192,80.4942,157.7166,1.2843,21.5158,61.4132,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,49.7813,80.4942,135.0032,0.071,0.1148,0.1925,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,241.48270348708195,241.48270348709656,0,13.9662,55.1011,0.1724,0.1724,minor,normal,diastolic,7,4,56,2,[2.1374256931393196e-08]
948,962,1160,DV1,21.0,1181,0.0,3.4876,259.9594,0.0,8.5387,63.9916,0.0,5.4739,11.1418,0.01,0.0142,1,0.05,0.204,25,8,31.856,34.2298,37.2002,11.0916,11.9181,12.9524,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1152,0.0,1.5251,4.4817,0.0,8.4964,24.9671,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1160,0.0,1.7507,37.2002,0.0,8.52,24.9671,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,6.0636,83.8445,164.3229,1.3381,22.4185,63.9916,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,51.686,83.8445,140.7389,0.0737,0.1196,0.2007,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,251.53364710000358,251.53364710001892,0,15.1168,56.7527,0.1724,0.1724,minor,normal,systolic,7,4,56,2,[2.1374256931393196e-08]
948,962,1160,DV1,21.0,1181,0.0,3.3411,249.1367,0.0,8.1769,62.095,0.0,5.4739,11.1418,0.01,0.0142,1,0.05,0.204,25,8,30.5604,32.8476,35.8213,10.6405,11.4369,12.4722,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1152,0.0,1.4596,4.3062,0.0,8.1314,23.989,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1160,0.0,1.6761,35.8213,0.0,8.1542,23.989,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,5.8135,80.2337,157.462,1.2822,21.4907,61.3526,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,48.5598,80.2337,135.3053,0.0693,0.1144,0.193,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,240.70114780608802,240.70114780610248,0,13.8599,55.162,0.1724,0.1724,minor,normal,average,7,4,56,2,[2.1374256931393196e-08]
948,962,1160,DV1,21.0,1181,0.0,3.3411,249.1367,0.0,8.1769,62.095,0.0,5.4739,11.1418,0.01,0.0142,1,0.05,0.204,25,8,30.5604,32.8476,35.8213,10.6405,11.4369,12.4722,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1152,0.0,1.4596,4.3062,0.0,8.1314,23.989,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1160,0.0,1.6761,35.8213,0.0,8.1542,23.989,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,5.8135,80.2337,157.462,1.2822,21.4907,61.3526,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,48.5598,80.2337,135.3053,0.0693,0.1144,0.193,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,240.70114780608802,240.70114780610248,0,13.8599,55.162,0.1724,0.1724,minor,normal,diastolic,7,4,56,2,[2.1374256931393196e-08]
948,962,1160,DV1,22.0,1181,0.0,3.4779,259.1784,0.0,8.5139,63.931,0.0,5.4739,11.1418,0.01,0.0142,1,0.05,0.204,25,8,31.8471,34.232,37.3476,11.0885,11.9189,13.0037,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1152,0.0,1.5206,4.4883,0.0,8.471,25.0038,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1160,0.0,1.7462,37.3476,0.0,8.4948,25.0038,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,6.0578,83.584,164.0682,1.336,22.3934,63.931,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,50.4645,83.584,141.0411,0.072,0.1192,0.2011,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,250.75209141900956,250.75209141902468,0,15.0145,56.8111,0.1724,0.1724,minor,normal,systolic,7,4,56,2,[2.1374256931393196e-08]
