Num intranidal nodes,Num nodes,Num intranidal vessels,Injection location,Injection pressure (mmHg),Num vessels,Flow min (mL/min),Flow mean (mL/min),Flow max (mL/min),Pressure min (mmHg),Pressure mean (mmHg),Pressure max (mmHg),Resistance min (mmHg*min/mL),Resistance mean (mmHg*min/mL),Resistance max (mmHg*min/mL),Radius min (cm),Radius mean (cm),Radius max (cm),Length min (cm),Length mean (cm),Length max (cm),Num fistulous,Fistulous flow min (mL/min),Fistulous flow mean (mL/min),Fistulous flow max (mL/min),Fistulous pressure min (mmHg),Fistulous pressure mean (mmHg),Fistulous pressure max (mmHg),Fistulous resistance min (mmHg*min/mL),Fistulous resistance mean (mmHg*min/mL),Fistulous resistance max (mmHg*min/mL),Fistulous radius min (cm),Fistulous radius mean (cm),Fistulous radius max (cm),Fistulous length min (cm),Fistulous length mean (cm),Fistulous length max (cm),Num plexiform,Plexiform flow min (mL/min),Plexiform flow mean (mL/min),Plexiform flow max (mL/min),Plexiform pressure min (mmHg),Plexiform pressure mean (mmHg),Plexiform pressure max (mmHg),Plexiform resistance min (mmHg*min/mL),Plexiform resistance mean (mmHg*min/mL),Plexiform resistance max (mmHg*min/mL),Plexiform radius min (cm),Plexiform radius mean (cm),Plexiform radius max (cm),Plexiform length min (cm),Plexiform length mean (cm),Plexiform length max (cm),Num intranidal,Intranidal flow min (mL/min),Intranidal flow mean (mL/min),Intranidal flow max (mL/min),Intranidal pressure min (mmHg),Intranidal pressure mean (mmHg),Intranidal pressure max (mmHg),Intranidal resistance min (mmHg*min/mL),Intranidal resistance mean (mmHg*min/mL),Intranidal resistance max (mmHg*min/mL),Intranidal radius min (cm),Intranidal radius mean (cm),Intranidal radius max (cm),Intranidal length min (cm),Intranidal length mean (cm),Intranidal length max (cm),Num feeder,Feeder flow min (mL/min),Feeder flow mean (mL/min),Feeder flow max (mL/min),Feeder pressure min (mmHg),Feeder pressure mean (mmHg),Feeder pressure max (mmHg),Feeder resistance min (mmHg*min/mL),Feeder resistance mean (mmHg*min/mL),Feeder resistance max (mmHg*min/mL),Feeder radius min (cm),Feeder radius mean (cm),Feeder radius max (cm),Feeder length min (cm),Feeder length mean (cm),Feeder length max (cm),Num drainer,Drainer flow min (mL/min),Drainer flow mean (mL/min),Drainer flow max (mL/min),Drainer pressure min (mmHg),Drainer pressure mean (mmHg),Drainer pressure max (mmHg),Drainer resistance min (mmHg*min/mL),Drainer resistance mean (mmHg*min/mL),Drainer resistance max (mmHg*min/mL),Drainer radius min (cm),Drainer radius mean (cm),Drainer radius max (cm),Drainer length min (cm),Drainer length mean (cm),Drainer length max (cm),Feeder total flow (mL/min),Drainer total flow (mL/min),Min rupture risk (%),Mean rupture risk (%),Max rupture risk (%),Percent filled (%),Percent filled post-injection (%),Blood pressure hypotension,CVP pressure,Cardiac phase,Num columns,Num compartments,Num cross vessels,Fistula compartment index,Error
679,693,870,,0.0,891,0.0,1.5882,101.4573,0.0,3.3657,21.4339,0.0,5.4541,11.1418,0.01,0.0156,1,0.05,0.2541,25,6,12.7952,13.2193,13.9128,4.455,4.6027,4.8442,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,864,0.0,0.6035,1.7842,0.0,3.362,9.9396,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,870,0.0,0.6905,13.9128,0.0,3.3706,9.9396,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,2.031,32.9164,61.6963,0.5024,7.5891,21.4339,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,17.726,32.9164,53.3412,0.0253,0.0469,0.0761,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,98.7491750289054,98.74917502889488,0,3.0402,31.196,0.0,0.0,profound,normal,systolic,5,4,40,2,[4.687162916177085e-09]
679,693,870,,0.0,891,0.0,1.5344,98.053,0.0,3.2512,20.6942,0.0,5.4541,11.1418,0.01,0.0156,1,0.05,0.2541,25,6,12.3537,12.7631,13.4326,4.3013,4.4438,4.677,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,864,0.0,0.5827,1.7227,0.0,3.246,9.5967,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,870,0.0,0.6667,13.4326,0.0,3.2543,9.5967,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.9609,31.7806,59.5669,0.4851,7.3272,20.6942,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,17.1143,31.7806,51.5006,0.0244,0.0453,0.0734,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,95.34183210460279,95.34183210459256,0,2.5178,29.993,0.0,0.0,profound,normal,average,5,4,40,2,[4.687162916177085e-09]
679,693,870,,0.0,891,0.0,1.5344,98.053,0.0,3.2512,20.6942,0.0,5.4541,11.1418,0.01,0.0156,1,0.05,0.2541,25,6,12.3537,12.7631,13.4326,4.3013,4.4438,4.677,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,864,0.0,0.5827,1.7227,0.0,3.246,9.5967,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,870,0.0,0.6667,13.4326,0.0,3.2543,9.5967,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.9609,31.7806,59.5669,0.4851,7.3272,20.6942,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,17.1143,31.7806,51.5006,0.0244,0.0453,0.0734,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,95.34183210460279,95.34183210459256,0,2.5178,29.993,0.0,0.0,profound,normal,diastolic,5,4,40,2,[4.687162916177085e-09]
679,693,870,DV1,20.0,891,0.0,1.3177,82.37,0.0,2.8084,20.4473,0.0,5.4541,11.1418,0.01,0.0156,1,0.05,0.2541,25,6,12.6512,13.2926,14.0451,4.4049,4.6282,4.8902,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,864,0.0,0.5007,1.7509,0.0,2.7895,9.754,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,870,0.0,0.589,14.0451,0.0,2.8022,9.754,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.9375,26.5495,55.7926,0.4543,7.1406,20.4473,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,1.3785,26.5495,57.1663,0.002,0.0379,0.0815,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,79.6485992139948,79.64859921398683,0,2.4384,30.5501,32.2989,32.2989,profound,normal,systolic,5,4,40,2,[4.687162916177085e-09]
679,693,870,DV1,20.0,891,0.0,1.2657,78.9657,0.0,2.7044,20.0495,0.0,5.4541,11.1418,0.01,0.0156,1,0.05,0.2541,25,6,12.1992,12.8364,13.5829,4.2475,4.4694,4.7293,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,864,0.0,0.4818,1.7008,0.0,2.6843,9.475,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,870,0.0,0.567,13.5829,0.0,2.6966,9.475,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.8674,25.4138,53.6633,0.437,6.8787,19.7076,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,0.4235,25.4138,55.3256,0.0006,0.0362,0.0789,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,76.24125628969215,76.24125628968442,0,2.0653,29.5555,33.908,33.908,profound,normal,average,5,4,40,2,[4.687162916177085e-09]
679,693,870,DV1,20.0,891,0.0,1.2657,78.9657,0.0,2.7044,20.0495,0.0,5.4541,11.1418,0.01,0.0156,1,0.05,0.2541,25,6,12.1992,12.8364,13.5829,4.2475,4.4694,4.7293,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,864,0.0,0.4818,1.7008,0.0,2.6843,9.475,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,870,0.0,0.567,13.5829,0.0,2.6966,9.475,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.8674,25.4138,53.6633,0.437,6.8787,19.7076,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,0.4235,25.4138,55.3256,0.0006,0.0362,0.0789,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,76.24125628969215,76.24125628968442,0,2.0653,29.5555,33.908,33.908,profound,normal,diastolic,5,4,40,2,[4.687162916177085e-09]
679,693,870,DV1,21.0,891,0.0,1.307,81.4156,0.0,2.7961,20.398,0.0,5.4541,11.1418,0.01,0.0156,1,0.05,0.2541,25,6,12.629,13.2962,14.0776,4.3972,4.6295,4.9015,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,864,0.0,0.4985,1.7659,0.0,2.7769,9.8374,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,870,0.0,0.5867,14.0776,0.0,2.7897,9.8374,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.9328,26.2312,55.4974,0.4519,7.1182,20.398,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,0.0633,26.2312,57.3576,0.0001,0.0374,0.0818,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,78.6935704232495,78.69357042324147,0,2.4557,30.8418,33.908,33.908,profound,normal,systolic,5,4,40,2,[4.687162916177085e-09]
679,693,870,DV1,21.0,891,0.0,1.2572,78.0113,0.0,2.6933,20.0549,0.0,5.4541,11.1418,0.01,0.0156,1,0.05,0.2541,25,6,12.177,12.84,13.6154,4.2398,4.4706,4.7406,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,864,0.0,0.4798,1.7161,0.0,2.6729,9.5599,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,870,0.0,0.565,13.6154,0.0,2.6853,9.5599,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.8627,25.0954,53.3681,0.4346,6.8563,19.6582,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,0.8917,25.6899,55.5169,0.0013,0.0366,0.0792,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,75.28622749894676,75.286227498939,0,2.0826,29.8614,33.908,33.908,profound,normal,average,5,4,40,2,[4.687162916177085e-09]
679,693,870,DV1,21.0,891,0.0,1.2572,78.0113,0.0,2.6933,20.0549,0.0,5.4541,11.1418,0.01,0.0156,1,0.05,0.2541,25,6,12.177,12.84,13.6154,4.2398,4.4706,4.7406,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,864,0.0,0.4798,1.7161,0.0,2.6729,9.5599,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,870,0.0,0.565,13.6154,0.0,2.6853,9.5599,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.8627,25.0954,53.3681,0.4346,6.8563,19.6582,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,0.8917,25.6899,55.5169,0.0013,0.0366,0.0792,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,75.28622749894676,75.286227498939,0,2.0826,29.8614,33.908,33.908,profound,normal,diastolic,5,4,40,2,[4.687162916177085e-09]
679,693,870,DV1,22.0,891,0.0,1.2993,80.4612,0.0,2.7855,20.3486,0.0,5.4541,11.1418,0.01,0.0156,1,0.05,0.2541,25,6,12.6068,13.2999,14.1101,4.3894,4.6308,4.9129,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,864,0.0,0.4965,1.7836,0.0,2.7661,9.9365,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,870,0.0,0.5848,14.1101,0.0,2.7789,9.9365,0.3482,5.5349,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.9281,25.9128,55.2023,0.4495,7.0957,20.3486,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,1.2518,26.7474,57.5488,0.0018,0.0381,0.0821,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,77.73854163250382,77.7385416324961,0,2.4779,31.1854,36.2069,36.2069,profound,normal,systolic,5,4,40,2,[4.687162916177085e-09]
