Num intranidal nodes,Num nodes,Num intranidal vessels,Injection location,Injection pressure (mmHg),Num vessels,Flow min (mL/min),Flow mean (mL/min),Flow max (mL/min),Pressure min (mmHg),Pressure mean (mmHg),Pressure max (mmHg),Resistance min (mmHg*min/mL),Resistance mean (mmHg*min/mL),Resistance max (mmHg*min/mL),Radius min (cm),Radius mean (cm),Radius max (cm),Length min (cm),Length mean (cm),Length max (cm),Num fistulous,Fistulous flow min (mL/min),Fistulous flow mean (mL/min),Fistulous flow max (mL/min),Fistulous pressure min (mmHg),Fistulous pressure mean (mmHg),Fistulous pressure max (mmHg),Fistulous resistance min (mmHg*min/mL),Fistulous resistance mean (mmHg*min/mL),Fistulous resistance max (mmHg*min/mL),Fistulous radius min (cm),Fistulous radius mean (cm),Fistulous radius max (cm),Fistulous length min (cm),Fistulous length mean (cm),Fistulous length max (cm),Num plexiform,Plexiform flow min (mL/min),Plexiform flow mean (mL/min),Plexiform flow max (mL/min),Plexiform pressure min (mmHg),Plexiform pressure mean (mmHg),Plexiform pressure max (mmHg),Plexiform resistance min (mmHg*min/mL),Plexiform resistance mean (mmHg*min/mL),Plexiform resistance max (mmHg*min/mL),Plexiform radius min (cm),Plexiform radius mean (cm),Plexiform radius max (cm),Plexiform length min (cm),Plexiform length mean (cm),Plexiform length max (cm),Num intranidal,Intranidal flow min (mL/min),Intranidal flow mean (mL/min),Intranidal flow max (mL/min),Intranidal pressure min (mmHg),Intranidal pressure mean (mmHg),Intranidal pressure max (mmHg),Intranidal resistance min (mmHg*min/mL),Intranidal resistance mean (mmHg*min/mL),Intranidal resistance max (mmHg*min/mL),Intranidal radius min (cm),Intranidal radius mean (cm),Intranidal radius max (cm),Intranidal length min (cm),Intranidal length mean (cm),Intranidal length max (cm),Num feeder,Feeder flow min (mL/min),Feeder flow mean (mL/min),Feeder flow max (mL/min),Feeder pressure min (mmHg),Feeder pressure mean (mmHg),Feeder pressure max (mmHg),Feeder resistance min (mmHg*min/mL),Feeder resistance mean (mmHg*min/mL),Feeder resistance max (mmHg*min/mL),Feeder radius min (cm),Feeder radius mean (cm),Feeder radius max (cm),Feeder length min (cm),Feeder length mean (cm),Feeder length max (cm),Num drainer,Drainer flow min (mL/min),Drainer flow mean (mL/min),Drainer flow max (mL/min),Drainer pressure min (mmHg),Drainer pressure mean (mmHg),Drainer pressure max (mmHg),Drainer resistance min (mmHg*min/mL),Drainer resistance mean (mmHg*min/mL),Drainer resistance max (mmHg*min/mL),Drainer radius min (cm),Drainer radius mean (cm),Drainer radius max (cm),Drainer length min (cm),Drainer length mean (cm),Drainer length max (cm),Feeder total flow (mL/min),Drainer total flow (mL/min),Min rupture risk (%),Mean rupture risk (%),Max rupture risk (%),Percent filled (%),Percent filled post-injection (%),Blood pressure hypotension,CVP pressure,Cardiac phase,Num columns,Num compartments,Num cross vessels,Fistula compartment index,Error
797,811,990,,0.0,1011,0.0,4.3375,294.36,0.0,9.9417,73.3685,0.0,5.4628,11.1418,0.01,0.0149,1,0.05,0.2299,25,7,37.2586,38.9821,40.9634,12.9727,13.5728,14.2626,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,983,0.0,1.7793,6.0383,0.0,9.9125,33.6388,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,990,0.0,2.0424,40.9634,0.0,9.9384,33.6388,0.3482,5.5339,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,6.9521,95.32,177.5196,1.4456,25.7408,73.3685,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,59.765,95.32,145.9933,0.0852,0.1359,0.2082,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,285.95993723651804,285.9599372365026,0,20.3259,68.619,0.0,0.0,minor,normal,systolic,6,4,48,2,[9.934389380810669e-09]
797,811,990,,0.0,1011,0.0,4.1653,282.8096,0.0,9.545,70.4018,0.0,5.4628,11.1418,0.01,0.0149,1,0.05,0.2299,25,7,35.7521,37.406,39.3071,12.4482,13.024,13.6859,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,983,0.0,1.7074,5.7943,0.0,9.5118,32.2794,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,990,0.0,1.9598,39.3071,0.0,9.5366,32.2794,0.3482,5.5339,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,6.671,91.4664,170.3415,1.3871,24.7,70.4018,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,57.3489,91.4664,140.0907,0.0818,0.1304,0.1998,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,274.3992370424809,274.3992370424662,0,19.1569,66.9771,0.0,0.0,minor,normal,average,6,4,48,2,[9.934389380810669e-09]
797,811,990,,0.0,1011,0.0,3.9931,271.2592,0.0,9.1483,67.4352,0.0,5.4628,11.1418,0.01,0.0149,1,0.05,0.2299,25,7,34.2456,35.8298,37.6508,11.9236,12.4752,13.1092,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,983,0.0,1.6355,5.5503,0.0,9.1111,30.92,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,990,0.0,1.8773,37.6508,0.0,9.1348,30.92,0.3482,5.5339,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,6.3899,87.6128,163.1635,1.3287,23.6592,67.4352,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,54.9327,87.6128,134.1881,0.0783,0.1249,0.1914,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,262.83853684844485,262.8385368484308,0,17.9502,65.2645,0.0,0.0,minor,normal,diastolic,6,4,48,2,[9.934389380810669e-09]
797,811,990,DV1,20.0,1011,0.0,4.1061,278.1613,0.0,9.3622,72.0437,0.0,5.4628,11.1418,0.01,0.0149,1,0.05,0.2299,25,7,37.4322,39.031,41.1155,13.0331,13.5898,14.3156,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,983,0.0,1.6727,5.7629,0.0,9.3187,32.1047,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,990,0.0,1.9369,41.1155,0.0,9.3489,32.1047,0.3482,5.5339,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,6.8265,89.9168,173.1414,1.4099,25.1948,72.0437,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,56.2738,89.9168,150.5961,0.0803,0.1282,0.2148,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,269.75047988753846,269.7504798875242,0,18.1959,66.7611,0.0,0.0,minor,normal,systolic,6,4,48,2,[9.934389380810669e-09]
797,811,990,DV1,20.0,1011,0.0,3.9339,266.6109,0.0,8.9662,69.0771,0.0,5.4628,11.1418,0.01,0.0149,1,0.05,0.2299,25,7,35.9257,37.4548,39.4598,12.5086,13.041,13.7391,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,983,0.0,1.6009,5.5189,0.0,8.9187,30.7453,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,990,0.0,1.8545,39.4598,0.0,8.9478,30.7453,0.3482,5.5339,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,6.5454,86.0633,165.9634,1.3515,24.1539,69.0771,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,53.0319,86.0633,144.6934,0.0756,0.1227,0.2064,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,258.18977969350203,258.18977969348816,0,16.9573,65.039,0.0,0.0,minor,normal,average,6,4,48,2,[9.934389380810669e-09]
797,811,990,DV1,20.0,1011,0.0,3.7619,255.0606,0.0,8.5705,66.1104,0.0,5.4628,11.1418,0.01,0.0149,1,0.05,0.2299,25,7,34.4192,35.8787,37.804,11.9841,12.4922,13.1626,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,983,0.0,1.5292,5.2749,0.0,8.519,29.3859,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,990,0.0,1.7721,37.804,0.0,8.5471,29.3859,0.3482,5.5339,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,6.2643,82.2097,158.7854,1.293,23.1131,66.1104,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,49.79,82.2097,138.7908,0.071,0.1172,0.1979,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,246.6290794994654,246.6290794994522,0,15.6959,63.239,0.0,0.0,minor,normal,diastolic,6,4,48,2,[9.934389380810669e-09]
797,811,990,DV1,21.0,1011,0.0,4.0946,277.3514,0.0,9.3341,71.9775,0.0,5.4628,11.1418,0.01,0.0149,1,0.05,0.2299,25,7,37.4409,39.0335,41.1238,13.0362,13.5907,14.3185,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,983,0.0,1.6676,5.7492,0.0,9.2899,32.028,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,990,0.0,1.9318,41.1238,0.0,9.3203,32.028,0.3482,5.5339,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,6.8203,89.6467,172.9225,1.4081,25.1675,71.9775,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,55.0774,89.6467,150.8262,0.0785,0.1278,0.2151,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,268.94000702008964,268.9400070200753,0,18.0925,66.6659,0.0,0.0,minor,normal,systolic,6,4,48,2,[9.934389380810669e-09]
797,811,990,DV1,21.0,1011,0.0,3.9226,265.801,0.0,8.9386,69.0108,0.0,5.4628,11.1418,0.01,0.0149,1,0.05,0.2299,25,7,35.9344,37.4573,39.468,12.5116,13.0419,13.742,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,983,0.0,1.5959,5.5052,0.0,8.8904,30.6686,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,990,0.0,1.8494,39.468,0.0,8.9197,30.6686,0.3482,5.5339,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,6.5392,85.7931,165.7445,1.3497,24.1266,69.0108,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,51.8355,85.7931,144.9236,0.0739,0.1224,0.2067,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,257.37930682605315,257.3793068260396,0,16.8533,64.9396,0.0,0.0,minor,normal,average,6,4,48,2,[9.934389380810669e-09]
797,811,990,DV1,21.0,1011,0.0,3.7507,254.2506,0.0,8.5435,66.0442,0.0,5.4628,11.1418,0.01,0.0149,1,0.05,0.2299,25,7,34.4279,35.8811,37.8122,11.9871,12.4931,13.1655,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,983,0.0,1.5242,5.2612,0.0,8.4914,29.3092,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,990,0.0,1.7672,37.8122,0.0,8.5197,29.3092,0.3482,5.5339,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,6.2581,81.9395,158.5665,1.2912,23.0858,66.0442,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,48.5936,81.9395,139.0209,0.0693,0.1169,0.1983,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,245.81860663201684,245.81860663200337,0,15.5839,63.135,0.0,0.0,minor,normal,diastolic,6,4,48,2,[9.934389380810669e-09]
797,811,990,DV1,22.0,1011,0.0,4.0833,276.5415,0.0,9.3066,71.9113,0.0,5.4628,11.1418,0.01,0.0149,1,0.05,0.2299,25,7,37.4496,39.0359,41.132,13.0392,13.5915,14.3213,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,983,0.0,1.6625,5.7354,0.0,9.2617,31.9513,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,990,0.0,1.9268,41.132,0.0,9.2924,31.9513,0.3482,5.5339,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,6.814,89.3765,172.7036,1.4063,25.1402,71.9113,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,53.881,89.3765,151.0564,0.0768,0.1275,0.2154,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,268.12953415264064,268.1295341526264,0,17.9885,66.5704,0.0,0.0,minor,normal,systolic,6,4,48,2,[9.934389380810669e-09]
