Num intranidal nodes,Num nodes,Num intranidal vessels,Injection location,Injection pressure (mmHg),Num vessels,Flow min (mL/min),Flow mean (mL/min),Flow max (mL/min),Pressure min (mmHg),Pressure mean (mmHg),Pressure max (mmHg),Resistance min (mmHg*min/mL),Resistance mean (mmHg*min/mL),Resistance max (mmHg*min/mL),Radius min (cm),Radius mean (cm),Radius max (cm),Length min (cm),Length mean (cm),Length max (cm),Num fistulous,Fistulous flow min (mL/min),Fistulous flow mean (mL/min),Fistulous flow max (mL/min),Fistulous pressure min (mmHg),Fistulous pressure mean (mmHg),Fistulous pressure max (mmHg),Fistulous resistance min (mmHg*min/mL),Fistulous resistance mean (mmHg*min/mL),Fistulous resistance max (mmHg*min/mL),Fistulous radius min (cm),Fistulous radius mean (cm),Fistulous radius max (cm),Fistulous length min (cm),Fistulous length mean (cm),Fistulous length max (cm),Num plexiform,Plexiform flow min (mL/min),Plexiform flow mean (mL/min),Plexiform flow max (mL/min),Plexiform pressure min (mmHg),Plexiform pressure mean (mmHg),Plexiform pressure max (mmHg),Plexiform resistance min (mmHg*min/mL),Plexiform resistance mean (mmHg*min/mL),Plexiform resistance max (mmHg*min/mL),Plexiform radius min (cm),Plexiform radius mean (cm),Plexiform radius max (cm),Plexiform length min (cm),Plexiform length mean (cm),Plexiform length max (cm),Num intranidal,Intranidal flow min (mL/min),Intranidal flow mean (mL/min),Intranidal flow max (mL/min),Intranidal pressure min (mmHg),Intranidal pressure mean (mmHg),Intranidal pressure max (mmHg),Intranidal resistance min (mmHg*min/mL),Intranidal resistance mean (mmHg*min/mL),Intranidal resistance max (mmHg*min/mL),Intranidal radius min (cm),Intranidal radius mean (cm),Intranidal radius max (cm),Intranidal length min (cm),Intranidal length mean (cm),Intranidal length max (cm),Num feeder,Feeder flow min (mL/min),Feeder flow mean (mL/min),Feeder flow max (mL/min),Feeder pressure min (mmHg),Feeder pressure mean (mmHg),Feeder pressure max (mmHg),Feeder resistance min (mmHg*min/mL),Feeder resistance mean (mmHg*min/mL),Feeder resistance max (mmHg*min/mL),Feeder radius min (cm),Feeder radius mean (cm),Feeder radius max (cm),Feeder length min (cm),Feeder length mean (cm),Feeder length max (cm),Num drainer,Drainer flow min (mL/min),Drainer flow mean (mL/min),Drainer flow max (mL/min),Drainer pressure min (mmHg),Drainer pressure mean (mmHg),Drainer pressure max (mmHg),Drainer resistance min (mmHg*min/mL),Drainer resistance mean (mmHg*min/mL),Drainer resistance max (mmHg*min/mL),Drainer radius min (cm),Drainer radius mean (cm),Drainer radius max (cm),Drainer length min (cm),Drainer length mean (cm),Drainer length max (cm),Feeder total flow (mL/min),Drainer total flow (mL/min),Min rupture risk (%),Mean rupture risk (%),Max rupture risk (%),Percent filled (%),Percent filled post-injection (%),Blood pressure hypotension,CVP pressure,Cardiac phase,Num columns,Num compartments,Num cross vessels,Fistula compartment index,Error
841,855,1081,,0.0,1102,0.0,1.5289,120.7062,0.0,3.3097,20.7708,0.0,5.4765,11.1418,0.01,0.0145,1,0.05,0.215,25,6,12.3092,13.107,13.9581,4.2858,4.5636,4.8599,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1075,0.0,0.5934,1.8802,0.0,3.3055,10.4742,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1081,0.0,0.6628,13.9581,0.0,3.3125,10.4742,0.3482,5.5419,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.9681,39.338,72.2682,0.5885,7.4661,20.7708,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,27.5946,39.338,59.076,0.0394,0.0561,0.0843,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,118.01405462185957,118.01405462186591,0,2.7202,32.9916,0.0,0.0,profound,normal,systolic,5,5,50,2,[6.663830860967016e-09]
841,855,1081,,0.0,1102,0.0,1.4769,116.6378,0.0,3.1969,20.0539,0.0,5.4765,11.1418,0.01,0.0145,1,0.05,0.215,25,6,11.8844,12.6547,13.4764,4.1379,4.4061,4.6922,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1075,0.0,0.5729,1.8153,0.0,3.1915,10.1127,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1081,0.0,0.6399,13.4764,0.0,3.1982,10.1127,0.3482,5.5419,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.9002,37.9807,69.7741,0.5682,7.2084,20.0539,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,26.6425,37.9807,57.0374,0.038,0.0542,0.0813,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,113.94200556411266,113.94200556411869,0,2.2807,31.7879,0.0,0.0,profound,normal,average,5,5,50,2,[6.663830860967016e-09]
841,855,1081,,0.0,1102,0.0,1.425,112.5693,0.0,3.084,19.8383,0.0,5.4765,11.1418,0.01,0.0145,1,0.05,0.215,25,6,11.4596,12.2024,12.9947,3.99,4.2486,4.5245,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1075,0.0,0.5524,1.7504,0.0,3.0774,9.7512,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1081,0.0,0.6171,12.9947,0.0,3.0839,9.7512,0.3482,5.5419,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.8323,36.6233,67.2801,0.5479,6.9507,19.3371,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,25.6903,36.6233,54.9989,0.0366,0.0522,0.0784,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,109.86995650636591,109.86995650637171,0,1.9118,30.5404,0.0,0.0,profound,normal,diastolic,5,5,50,2,[6.663830860967016e-09]
841,855,1081,DV1,20.0,1102,0.0,1.283,99.0938,0.0,2.8096,19.8834,0.0,5.4765,11.1418,0.01,0.0145,1,0.05,0.215,25,6,12.1856,13.1727,14.8606,4.2428,4.5865,5.1742,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1075,0.0,0.5017,1.9091,0.0,2.7949,10.6353,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1081,0.0,0.572,14.8606,0.0,2.8049,10.6353,0.3482,5.5419,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.8725,32.1294,68.0335,0.554,6.9811,19.7609,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,0.6793,32.1294,63.6451,0.001,0.0458,0.0908,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,96.38816877238848,96.38816877239188,0,2.307,33.5147,30.8048,30.8048,profound,normal,systolic,5,5,50,2,[6.663830860967016e-09]
841,855,1081,DV1,20.0,1102,0.0,1.234,95.0253,0.0,2.7095,19.9147,0.0,5.4765,11.1418,0.01,0.0145,1,0.05,0.215,25,6,11.7608,12.7204,14.3789,4.0949,4.429,5.0064,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1075,0.0,0.4836,1.8535,0.0,2.694,10.3257,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1081,0.0,0.5515,14.3789,0.0,2.7036,10.3257,0.3482,5.5419,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.8045,30.772,65.5395,0.5337,6.7234,19.044,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,0.402,31.04,61.6065,0.0006,0.0443,0.0879,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,92.31611971464172,92.31611971464488,0,1.9878,32.5022,34.5976,34.5976,profound,normal,average,5,5,50,2,[6.663830860967016e-09]
841,855,1081,DV1,20.0,1102,0.0,1.1866,90.9569,0.0,2.6112,19.9461,0.0,5.4765,11.1418,0.01,0.0145,1,0.05,0.215,25,6,11.336,12.2681,13.8972,3.947,4.2715,4.8387,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1075,0.0,0.4658,1.7979,0.0,2.5948,10.0161,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1081,0.0,0.5313,13.8972,0.0,2.6041,10.0161,0.3482,5.5419,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.7366,29.4147,63.0454,0.5134,6.4658,18.3272,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,1.4833,30.4036,59.5679,0.0021,0.0434,0.085,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,88.24407065689496,88.24407065689789,0,1.6847,31.4589,36.6327,36.6327,profound,normal,diastolic,5,5,50,2,[6.663830860967016e-09]
841,855,1081,DV1,21.0,1102,0.0,1.2756,98.0132,0.0,2.8035,19.8887,0.0,5.4765,11.1418,0.01,0.0145,1,0.05,0.215,25,6,12.1795,13.176,14.9057,4.2406,4.5876,5.1899,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1075,0.0,0.5006,1.924,0.0,2.7888,10.7185,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1081,0.0,0.5709,14.9057,0.0,2.7987,10.7185,0.3482,5.5419,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.8677,31.769,67.8218,0.5523,6.9569,19.7104,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,0.8539,32.3382,63.8735,0.0012,0.0461,0.0911,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,95.30687447991482,95.3068744799181,0,2.3259,33.7818,34.5976,34.5976,profound,normal,systolic,5,5,50,2,[6.663830860967016e-09]
841,855,1081,DV1,21.0,1102,0.0,1.2283,93.9447,0.0,2.7058,19.9201,0.0,5.4765,11.1418,0.01,0.0145,1,0.05,0.215,25,6,11.7547,12.7237,14.424,4.0927,4.4301,5.0222,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1075,0.0,0.4829,1.8685,0.0,2.6903,10.4089,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1081,0.0,0.5509,14.424,0.0,2.6999,10.4089,0.3482,5.5419,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.7997,30.4116,65.3277,0.532,6.6992,18.9935,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,1.9352,31.7017,61.8349,0.0028,0.0452,0.0882,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,91.23482542216814,91.23482542217127,0,2.0051,32.7774,36.6327,36.6327,profound,normal,average,5,5,50,2,[6.663830860967016e-09]
841,855,1081,DV1,21.0,1102,0.0,1.1811,89.8763,0.0,2.6084,19.9515,0.0,5.4765,11.1418,0.01,0.0145,1,0.05,0.215,25,6,11.3299,12.2714,13.9423,3.9448,4.2726,4.8544,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1075,0.0,0.4653,1.8129,0.0,2.5921,10.0993,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1081,0.0,0.5308,13.9423,0.0,2.6015,10.0993,0.3482,5.5419,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.7318,29.0543,62.8337,0.5117,6.4415,18.2767,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,3.0165,31.0653,59.7964,0.0043,0.0443,0.0853,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,87.16277636442138,87.16277636442425,0,1.7017,31.7426,37.3728,37.3728,profound,normal,diastolic,5,5,50,2,[6.663830860967016e-09]
841,855,1081,DV1,22.0,1102,0.0,1.27,96.9326,0.0,2.8004,19.8941,0.0,5.4765,11.1418,0.01,0.0145,1,0.05,0.215,25,6,12.1733,13.1793,14.9508,4.2385,4.5888,5.2056,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1075,0.0,0.5001,1.939,0.0,2.7857,10.8017,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1081,0.0,0.5704,14.9508,0.0,2.7957,10.8017,0.3482,5.5419,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,1.8629,31.4085,67.6101,0.5506,6.9326,19.6599,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,2.3871,32.9999,64.102,0.0034,0.0471,0.0914,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,94.22558018744134,94.22558018744448,0,2.3445,34.0469,36.6327,36.6327,profound,normal,systolic,5,5,50,2,[6.663830860967016e-09]
