Num intranidal nodes,Num nodes,Num intranidal vessels,Injection location,Injection pressure (mmHg),Num vessels,Flow min (mL/min),Flow mean (mL/min),Flow max (mL/min),Pressure min (mmHg),Pressure mean (mmHg),Pressure max (mmHg),Resistance min (mmHg*min/mL),Resistance mean (mmHg*min/mL),Resistance max (mmHg*min/mL),Radius min (cm),Radius mean (cm),Radius max (cm),Length min (cm),Length mean (cm),Length max (cm),Num fistulous,Fistulous flow min (mL/min),Fistulous flow mean (mL/min),Fistulous flow max (mL/min),Fistulous pressure min (mmHg),Fistulous pressure mean (mmHg),Fistulous pressure max (mmHg),Fistulous resistance min (mmHg*min/mL),Fistulous resistance mean (mmHg*min/mL),Fistulous resistance max (mmHg*min/mL),Fistulous radius min (cm),Fistulous radius mean (cm),Fistulous radius max (cm),Fistulous length min (cm),Fistulous length mean (cm),Fistulous length max (cm),Num plexiform,Plexiform flow min (mL/min),Plexiform flow mean (mL/min),Plexiform flow max (mL/min),Plexiform pressure min (mmHg),Plexiform pressure mean (mmHg),Plexiform pressure max (mmHg),Plexiform resistance min (mmHg*min/mL),Plexiform resistance mean (mmHg*min/mL),Plexiform resistance max (mmHg*min/mL),Plexiform radius min (cm),Plexiform radius mean (cm),Plexiform radius max (cm),Plexiform length min (cm),Plexiform length mean (cm),Plexiform length max (cm),Num intranidal,Intranidal flow min (mL/min),Intranidal flow mean (mL/min),Intranidal flow max (mL/min),Intranidal pressure min (mmHg),Intranidal pressure mean (mmHg),Intranidal pressure max (mmHg),Intranidal resistance min (mmHg*min/mL),Intranidal resistance mean (mmHg*min/mL),Intranidal resistance max (mmHg*min/mL),Intranidal radius min (cm),Intranidal radius mean (cm),Intranidal radius max (cm),Intranidal length min (cm),Intranidal length mean (cm),Intranidal length max (cm),Num feeder,Feeder flow min (mL/min),Feeder flow mean (mL/min),Feeder flow max (mL/min),Feeder pressure min (mmHg),Feeder pressure mean (mmHg),Feeder pressure max (mmHg),Feeder resistance min (mmHg*min/mL),Feeder resistance mean (mmHg*min/mL),Feeder resistance max (mmHg*min/mL),Feeder radius min (cm),Feeder radius mean (cm),Feeder radius max (cm),Feeder length min (cm),Feeder length mean (cm),Feeder length max (cm),Num drainer,Drainer flow min (mL/min),Drainer flow mean (mL/min),Drainer flow max (mL/min),Drainer pressure min (mmHg),Drainer pressure mean (mmHg),Drainer pressure max (mmHg),Drainer resistance min (mmHg*min/mL),Drainer resistance mean (mmHg*min/mL),Drainer resistance max (mmHg*min/mL),Drainer radius min (cm),Drainer radius mean (cm),Drainer radius max (cm),Drainer length min (cm),Drainer length mean (cm),Drainer length max (cm),Feeder total flow (mL/min),Drainer total flow (mL/min),Min rupture risk (%),Mean rupture risk (%),Max rupture risk (%),Percent filled (%),Percent filled post-injection (%),Blood pressure hypotension,CVP pressure,Cardiac phase,Num columns,Num compartments,Num cross vessels,Fistula compartment index,Occluded,Error
1018,1032,1304,,0,1325,0.0021,1.3037,121.9822,0.0014,3.2224,54.8063,0.0,5.5957,136.9099,0.01,0.0137,1,0.05,0.1867,25,6,0.7163,1.8781,3.6109,0.2494,0.6539,1.2572,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0021,0.566,4.9736,0.0115,3.1529,27.7071,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0021,0.572,4.9736,0.0115,3.1414,27.7071,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.1899,38.8487,111.1631,2.638,27.8145,54.8063,0.0237,49.1624,136.9099,0.0125,0.0542,0.125,3,3.9667,5.2,3,16.9023,38.8487,64.9708,0.0241,0.0554,0.0927,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,116.54623772277472,116.54623772279142,0,7.0289,66.3313,0.0,0.0,moderate,elevated,average,5,6,60,2,AF2,[3.2772773229525953e-09]
1018,1032,1304,,0,1325,0.0009,0.5445,51.0225,0.0006,1.3443,22.8348,0.0,5.5957,136.9099,0.01,0.0137,1,0.05,0.1867,25,6,0.2983,0.7824,1.5044,0.1039,0.2724,0.5238,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0009,0.2358,2.0723,0.0048,1.3136,11.5443,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0009,0.2383,2.0723,0.0048,1.3088,11.5443,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.0742,16.1851,46.3174,1.0992,11.3647,22.8348,0.0237,49.1624,136.9099,0.0125,0.0542,0.125,3,3.9667,5.2,3,7.0403,16.1851,27.0701,0.01,0.0231,0.0386,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,48.555304898496885,48.55530489850382,0,0.4829,36.3255,0.0,0.0,profound,elevated,average,5,6,60,2,AF2,[3.2772773229525953e-09]
1018,1032,1304,DV3,20,1325,0.0011,1.3411,116.3573,0.0013,3.4637,41.6246,0.0,5.5957,136.9099,0.01,0.0137,1,0.05,0.1867,25,6,2.4908,3.6829,5.8246,0.8673,1.2823,2.028,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0011,0.6125,4.8393,0.0061,3.4123,26.9591,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0011,0.6267,5.8246,0.0061,3.4025,26.9591,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.1356,36.9636,106.8109,2.5347,20.9068,41.6246,0.0237,49.1624,136.9099,0.0125,0.0542,0.125,3,3.9667,5.2,3,11.6973,44.7618,69.9212,0.0167,0.0638,0.0997,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,110.89066322163458,110.89066322164987,0,7.1663,65.3933,63.1902,63.1902,moderate,elevated,average,5,6,60,2,AF2,[3.2772773229525953e-09]
1018,1032,1304,DV3,20,1325,0.0026,0.6561,45.3976,0.0005,1.9155,18.5501,0.0,5.5957,136.9099,0.01,0.0137,1,0.05,0.1867,25,6,2.0729,2.5872,3.718,0.7217,0.9008,1.2945,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0026,0.3428,1.938,0.0145,1.9098,10.7963,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0026,0.3532,3.718,0.0145,1.9052,10.7963,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.0199,14.2999,41.9652,0.9959,4.457,9.6532,0.0237,49.1624,136.9099,0.0125,0.0542,0.125,3,3.9667,5.2,3,21.5593,28.6728,32.4385,0.0307,0.0409,0.0463,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,42.899730397356684,42.89973039736257,0,0.4609,34.0297,70.0153,70.0153,profound,elevated,average,5,6,60,2,AF2,[3.2772773229525953e-09]
1018,1032,1304,DV3,30,1325,0.0009,1.4183,113.5449,0.0013,3.8386,40.9483,0.0,5.5957,136.9099,0.01,0.0137,1,0.05,0.1867,25,6,3.3781,4.5854,6.9314,1.1762,1.5965,2.4134,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0009,0.6824,4.7722,0.005,3.8017,26.5851,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0009,0.7004,6.9314,0.005,3.7915,26.5851,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.1084,36.021,104.6348,2.4831,17.453,35.0338,0.0237,49.1624,136.9099,0.0125,0.0542,0.125,3,3.9667,5.2,3,25.9972,53.3524,72.3964,0.0371,0.0761,0.1032,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,108.06287597106459,108.06287597107928,0,7.7803,64.9146,65.1074,65.1074,moderate,elevated,average,5,6,60,2,AF2,[3.2772773229525953e-09]
1018,1032,1304,DV3,30,1325,0.0025,0.7453,42.5852,0.0005,2.3589,18.5646,0.0,5.5957,136.9099,0.01,0.0137,1,0.05,0.1867,25,6,2.9601,3.4897,4.8249,1.0307,1.215,1.6799,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0025,0.425,1.8709,0.0141,2.3675,10.4223,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0025,0.4391,4.8249,0.0141,2.3622,10.4223,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.0073,13.3622,39.789,0.9442,1.6679,3.0624,0.0237,49.1624,136.9099,0.0125,0.0542,0.125,3,3.9667,5.2,3,34.4957,37.2634,41.4353,0.0492,0.0531,0.0591,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,40.071943146786595,40.07194314679166,0,1.2407,32.8215,72.6994,72.6994,profound,elevated,average,5,6,60,2,AF2,[3.2772773229525953e-09]
1018,1032,1304,,0,1325,0.0015,2.9129,275.2241,0.0031,6.3941,39.2866,0.0,5.5877,136.9099,0.01,0.0137,1,0.05,0.1867,25,6,25.9229,26.9247,28.3334,9.0258,9.3746,9.8651,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0015,1.1485,4.4736,0.0083,6.3984,24.9219,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0015,1.2671,28.3334,0.0083,6.4121,24.9219,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.1335,89.9788,170.3289,1.387,7.3407,18.2745,0.0081,45.6473,136.9099,0.0125,0.0958,0.15,3,3.9667,5.2,3,45.8854,89.9788,144.1331,0.0654,0.1283,0.2056,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,269.9365476182759,269.9365476183025,0,17.1033,62.7003,0.0,0.0,moderate,elevated,average,5,6,60,2,AF3,[3.5721877130120762e-09]
1018,1032,1304,,0,1325,0.0006,1.215,114.8695,0.0013,2.6658,17.847,0.0,5.5877,136.9099,0.01,0.0137,1,0.05,0.1867,25,6,10.8005,11.2179,11.8048,3.7605,3.9058,4.1102,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0006,0.4785,1.8639,0.0034,2.6658,10.3835,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0006,0.5279,11.8048,0.0034,2.6715,10.3835,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.0507,37.4881,70.9663,0.5779,2.8344,6.9418,0.0081,45.6473,136.9099,0.0125,0.0958,0.15,3,3.9667,5.2,3,19.1159,37.4881,60.0506,0.0273,0.0535,0.0856,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,112.46422058279299,112.46422058280422,0,1.1093,32.6934,0.0,0.0,profound,elevated,average,5,6,60,2,AF3,[3.5721877130120762e-09]
1018,1032,1304,DV3,20,1325,0.0019,2.7289,259.941,0.0029,5.875,39.4176,0.0,5.5877,136.9099,0.01,0.0137,1,0.05,0.1867,25,6,25.9099,27.0265,28.3542,9.0213,9.4101,9.8724,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0019,1.0544,3.8068,0.0106,5.874,21.207,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0019,1.1739,28.3542,0.0106,5.8903,21.207,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.0825,84.8711,158.65,1.2919,4.9546,11.2965,0.0081,45.6473,136.9099,0.0125,0.0958,0.15,3,3.9667,5.2,3,15.9113,84.8711,154.8037,0.0227,0.121,0.2208,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,254.61331138817238,254.61331138819628,0,16.2654,57.1682,2.2239,16.7945,moderate,elevated,average,5,6,60,2,AF3,[3.5721877130120762e-09]
1018,1032,1304,DV3,20,1325,0.0003,1.1216,99.5865,0.0011,2.5607,17.978,0.0,5.5877,136.9099,0.01,0.0137,1,0.05,0.1867,25,6,10.7875,11.3197,11.9608,3.756,3.9413,4.1645,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0003,0.4602,1.5513,0.0015,2.564,8.6423,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0003,0.5102,11.9608,0.0015,2.5703,8.6423,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.0003,32.3805,59.2874,0.0363,0.4724,0.8983,0.0081,45.6473,136.9099,0.0125,0.0958,0.15,3,3.9667,5.2,3,10.8582,39.6191,70.7211,0.0155,0.0565,0.1009,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,97.14098435268993,97.14098435269818,0,1.0223,26.4028,40.2607,40.2607,profound,elevated,average,5,6,60,2,AF3,[3.5721877130120762e-09]
