Num intranidal nodes,Num nodes,Num intranidal vessels,Injection location,Injection pressure (mmHg),Num vessels,Flow min (mL/min),Flow mean (mL/min),Flow max (mL/min),Pressure min (mmHg),Pressure mean (mmHg),Pressure max (mmHg),Resistance min (mmHg*min/mL),Resistance mean (mmHg*min/mL),Resistance max (mmHg*min/mL),Radius min (cm),Radius mean (cm),Radius max (cm),Length min (cm),Length mean (cm),Length max (cm),Num fistulous,Fistulous flow min (mL/min),Fistulous flow mean (mL/min),Fistulous flow max (mL/min),Fistulous pressure min (mmHg),Fistulous pressure mean (mmHg),Fistulous pressure max (mmHg),Fistulous resistance min (mmHg*min/mL),Fistulous resistance mean (mmHg*min/mL),Fistulous resistance max (mmHg*min/mL),Fistulous radius min (cm),Fistulous radius mean (cm),Fistulous radius max (cm),Fistulous length min (cm),Fistulous length mean (cm),Fistulous length max (cm),Num plexiform,Plexiform flow min (mL/min),Plexiform flow mean (mL/min),Plexiform flow max (mL/min),Plexiform pressure min (mmHg),Plexiform pressure mean (mmHg),Plexiform pressure max (mmHg),Plexiform resistance min (mmHg*min/mL),Plexiform resistance mean (mmHg*min/mL),Plexiform resistance max (mmHg*min/mL),Plexiform radius min (cm),Plexiform radius mean (cm),Plexiform radius max (cm),Plexiform length min (cm),Plexiform length mean (cm),Plexiform length max (cm),Num intranidal,Intranidal flow min (mL/min),Intranidal flow mean (mL/min),Intranidal flow max (mL/min),Intranidal pressure min (mmHg),Intranidal pressure mean (mmHg),Intranidal pressure max (mmHg),Intranidal resistance min (mmHg*min/mL),Intranidal resistance mean (mmHg*min/mL),Intranidal resistance max (mmHg*min/mL),Intranidal radius min (cm),Intranidal radius mean (cm),Intranidal radius max (cm),Intranidal length min (cm),Intranidal length mean (cm),Intranidal length max (cm),Num feeder,Feeder flow min (mL/min),Feeder flow mean (mL/min),Feeder flow max (mL/min),Feeder pressure min (mmHg),Feeder pressure mean (mmHg),Feeder pressure max (mmHg),Feeder resistance min (mmHg*min/mL),Feeder resistance mean (mmHg*min/mL),Feeder resistance max (mmHg*min/mL),Feeder radius min (cm),Feeder radius mean (cm),Feeder radius max (cm),Feeder length min (cm),Feeder length mean (cm),Feeder length max (cm),Num drainer,Drainer flow min (mL/min),Drainer flow mean (mL/min),Drainer flow max (mL/min),Drainer pressure min (mmHg),Drainer pressure mean (mmHg),Drainer pressure max (mmHg),Drainer resistance min (mmHg*min/mL),Drainer resistance mean (mmHg*min/mL),Drainer resistance max (mmHg*min/mL),Drainer radius min (cm),Drainer radius mean (cm),Drainer radius max (cm),Drainer length min (cm),Drainer length mean (cm),Drainer length max (cm),Feeder total flow (mL/min),Drainer total flow (mL/min),Min rupture risk (%),Mean rupture risk (%),Max rupture risk (%),Percent filled (%),Percent filled post-injection (%),Blood pressure hypotension,CVP pressure,Cardiac phase,Num columns,Num compartments,Num cross vessels,Fistula compartment index,Error
820,834,1020,,0.0,1041,0.0,2.896,203.4722,0.0,6.6192,48.8202,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,25.0602,25.9463,27.5542,8.7254,9.034,9.5938,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.1841,4.2279,0.0,6.5967,23.5529,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.3541,27.5542,0.0,6.6135,23.5529,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.626,65.8854,122.583,0.9982,17.1634,48.8202,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,35.6728,65.8854,105.638,0.0509,0.094,0.1507,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,197.65629493907218,197.6562949390659,0,13.0282,57.5149,0.0,0.0,moderate,normal,systolic,6,4,48,2,[8.795705766842482e-09]
820,834,1020,,0.0,1041,0.0,2.8529,200.4782,0.0,6.5201,48.0799,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,24.6802,25.5529,27.1364,8.5931,8.897,9.4483,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.1662,4.1638,0.0,6.4967,23.196,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.3336,27.1364,0.0,6.5132,23.196,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.5558,64.8866,120.7242,0.9831,16.9031,48.0799,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,35.132,64.8866,104.0363,0.0501,0.0925,0.1484,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,194.6596839058613,194.65968390585508,0,12.6591,56.9482,0.0,0.0,moderate,normal,average,6,4,48,2,[8.795705766842482e-09]
820,834,1020,,0.0,1041,0.0,2.8098,197.4843,0.0,6.4211,47.3396,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,24.3002,25.1595,26.7186,8.4608,8.76,9.3029,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.1482,4.0997,0.0,6.3967,22.8391,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.313,26.7186,0.0,6.4129,22.8391,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.4857,63.8877,118.8654,0.9679,16.6429,47.3396,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,34.5911,63.8877,102.4347,0.0493,0.0911,0.1461,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,191.66307287265042,191.66307287264448,0,12.2843,56.3727,0.0,0.0,moderate,normal,diastolic,6,4,48,2,[8.795705766842482e-09]
820,834,1020,DV1,20.0,1041,0.0,2.6668,186.4014,0.0,6.0685,47.0796,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,25.4853,25.9997,27.1079,8.8735,9.0526,9.4384,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.083,3.5326,0.0,6.0334,19.6794,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.254,27.1079,0.0,6.0541,19.6794,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.4611,60.1913,117.8138,0.9594,16.4742,47.0796,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,32.5459,60.1913,108.996,0.0464,0.0858,0.1554,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,180.5740225178118,180.5740225178056,0,10.5881,50.8469,0.0,0.0,moderate,normal,systolic,6,4,48,2,[8.795705766842482e-09]
820,834,1020,DV1,20.0,1041,0.0,2.6238,183.4075,0.0,5.9701,46.3393,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,25.1053,25.6063,26.6944,8.7412,8.9156,9.2945,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.0652,3.4853,0.0,5.934,19.4164,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.2336,26.6944,0.0,5.9545,19.4164,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.3909,59.1925,115.955,0.9442,16.2139,46.3393,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,31.6918,59.1925,107.3944,0.0452,0.0844,0.1532,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,177.57741148460136,177.57741148459507,0,10.2115,50.3475,0.0,0.0,moderate,normal,average,6,4,48,2,[8.795705766842482e-09]
820,834,1020,DV1,20.0,1041,0.0,2.5808,180.4135,0.0,5.8717,45.599,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,24.7233,25.2129,26.29,8.6081,8.7786,9.1536,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.0473,3.4381,0.0,5.8346,19.1533,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.2132,26.29,0.0,5.8548,19.1533,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.3208,58.1936,114.0962,0.9291,15.9536,45.599,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,30.8377,58.1936,105.7927,0.044,0.083,0.1509,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,174.58080045139008,174.58080045138416,0,9.8288,49.8413,0.0,0.0,moderate,normal,diastolic,6,4,48,2,[8.795705766842482e-09]
820,834,1020,DV1,21.0,1041,0.0,2.6557,185.5479,0.0,6.043,46.9926,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,25.4883,26.0024,27.1201,8.8745,9.0535,9.4427,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.0783,3.5535,0.0,6.0073,19.7959,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.2494,27.1201,0.0,6.0282,19.7959,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.4528,59.9066,117.5754,0.9574,16.4397,46.9926,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,31.3559,59.9066,109.1639,0.0447,0.0854,0.1557,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,179.71990889674868,179.71990889674248,0,10.479,51.0659,0.0,0.0,moderate,normal,systolic,6,4,48,2,[8.795705766842482e-09]
820,834,1020,DV1,21.0,1041,0.0,2.6127,182.5539,0.0,5.9446,46.2523,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,25.0949,25.609,26.7156,8.7375,8.9165,9.3018,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.0605,3.5062,0.0,5.908,19.5328,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.229,26.7156,0.0,5.9286,19.5328,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.3827,58.9078,115.7165,0.9423,16.1794,46.2523,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,30.5018,58.9078,107.5623,0.0435,0.084,0.1534,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,176.72329786353808,176.72329786353197,0,10.1003,50.5695,0.0,0.0,moderate,normal,average,6,4,48,2,[8.795705766842482e-09]
820,834,1020,DV1,21.0,1041,0.0,2.5697,179.56,0.0,5.8462,45.512,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,24.7014,25.2155,26.3112,8.6005,8.7795,9.161,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.0427,3.459,0.0,5.8086,19.2698,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.2086,26.3112,0.0,5.829,19.2698,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.3125,57.9089,113.8577,0.9272,15.9192,45.512,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,29.6477,57.9089,105.9606,0.0423,0.0826,0.1511,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,173.72668683032717,173.72668683032117,0,9.7176,50.0663,0.0,0.0,moderate,normal,diastolic,6,4,48,2,[8.795705766842482e-09]
820,834,1020,DV1,22.0,1041,0.0,2.6446,184.6944,0.0,6.0176,46.9055,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,25.4665,26.0051,27.1413,8.8669,9.0544,9.4501,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.0737,3.5744,0.0,5.9813,19.9124,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.2448,27.1413,0.0,6.0024,19.9124,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.4446,59.6219,117.3369,0.9555,16.4052,46.9055,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,30.1659,59.6219,109.3318,0.043,0.085,0.1559,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,178.8657952756857,178.86579527567966,0,10.3687,51.2836,0.0,0.0,moderate,normal,systolic,6,4,48,2,[8.795705766842482e-09]
